Obs#,Time,Date,configName,configAuthor,remark,Pot,Row,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,,,,,,,,,,,,,,,,,
7,12:35:23,8/7/2023,Zach TIP2023,Zach Peagler,,7,1,0.347867,2.921132,0.310849,4.065512,3.355185,3.247004,4.581027,1.225842,33.23579,34.343113,46.890633,0.441786,PSF-01133_20230807123523,0,0,0,159.171219,363.867767,0.562558,0.5,0.8,88.919617,82.36,79.71,29.22,31.27,97.7,156.6,154.7,1.2,395,4.081,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
8,12:35:32,8/7/2023,Zach TIP2023,Zach Peagler,,8,1,0.352224,2.92048,0.314316,4.440403,3.379784,3.2616,4.702833,1.323049,33.385876,34.595612,48.138397,0.441786,PSF-01133_20230807123532,0,0,0,113.735672,381.584991,0.701939,0.5,0.8,133.921646,82.81,79.91,29.25,31.73,97.69,156.6,152.7,2.5,477,4.079,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
9,12:35:47,8/7/2023,Zach TIP2023,Zach Peagler,,1,2,0.108671,2.921669,0.104774,1.379618,3.293995,3.257278,4.528831,1.234836,33.343006,33.718853,46.359207,0.441786,PSF-01133_20230807123547,0,0,0,107.091667,423.688538,0.74724,0.5,0.8,80.651901,80.41,79.52,29.32,31.07,97.69,156.7,152,3,270,4.078,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
10,12:35:58,8/7/2023,Zach TIP2023,Zach Peagler,,2,2,0.464187,2.921194,0.40054,3.799605,3.358516,3.257421,4.249174,0.890659,33.343193,34.377998,43.494843,0.441786,PSF-01133_20230807123558,0,0,0,98.866226,412.729736,0.760458,0.5,0.8,40.328857,81.79,79.33,29.36,29.95,97.69,156.6,151.9,3,133,4.079,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
11,12:36:06,8/7/2023,Zach TIP2023,Zach Peagler,,3,2,0.093778,2.921282,0.090861,0.98559,3.271982,3.245736,4.290715,1.018733,33.222301,33.490952,43.918373,0.441786,PSF-01133_20230807123606,0,0,0,100.429062,399.902344,0.748866,0.5,0.8,28.868643,79.56,78.93,29.39,30.12,97.7,156.6,150,4.2,96,4.053,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
12,12:36:15,8/7/2023,Zach TIP2023,Zach Peagler,,4,2,0.627892,2.919933,0.516768,4.211755,3.375602,3.263443,4.141241,0.765639,33.402782,34.550774,42.387424,0.441786,PSF-01133_20230807123615,0,0,0,107.595207,441.937195,0.756537,0.5,0.8,25.989355,81.93,79.21,29.42,29.51,97.7,156.5,135.2,13.6,86,4.051,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
13,12:36:23,8/7/2023,Zach TIP2023,Zach Peagler,,5,2,0.125889,2.920835,0.120688,0.987555,3.3144,3.288101,4.083624,0.769225,33.653446,33.922604,41.795555,0.441786,PSF-01133_20230807123623,0,0,0,101.195457,438.091278,0.769008,0.5,0.8,30.29488,80.32,79.68,29.44,29.26,97.7,156.6,153.4,2,98,4.051,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
14,12:36:40,8/7/2023,Zach TIP2023,Zach Peagler,,6,2,0.163297,2.919093,0.154646,1.377704,3.334376,3.297643,4.17142,0.837044,33.749203,34.125137,42.691734,0.441786,PSF-01133_20230807123640,0,0,0,100.327133,432.848816,0.768217,0.5,0.8,32.397957,80.55,79.66,29.5,29.63,97.71,156.4,153.6,1.8,105,4.078,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
15,12:36:53,8/7/2023,Zach TIP2023,Zach Peagler,,7,2,0.142933,2.927064,0.136278,1.298267,3.343303,3.308911,4.237998,0.894695,33.86591,34.217903,43.374886,0.441786,PSF-01133_20230807123653,0,0,0,102.523682,429.831512,0.761479,0.5,0.8,40.981926,80.56,79.73,29.54,29.91,97.71,157.4,154.1,2.1,135,4.078,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
16,12:37:10,8/7/2023,Zach TIP2023,Zach Peagler,,8,2,0.073891,2.921638,0.072068,0.69241,3.339443,3.321019,4.24182,0.902377,33.987484,34.176033,43.411011,0.441786,PSF-01133_20230807123710,0,0,0,97.18895,429.72171,0.773833,0.5,0.8,14.530757,80.2,79.76,29.6,29.92,97.71,156.7,152.5,2.7,47,4.077,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
17,12:37:21,8/7/2023,Zach TIP2023,Zach Peagler,,1,3,0.237329,2.920375,0.219492,2.389673,3.408071,3.344471,4.42921,1.021139,34.228371,34.879272,45.329929,0.441786,PSF-01133_20230807123721,0,0,0,105.168343,398.662811,0.736197,0.5,0.8,28.176517,81.69,80.16,29.64,30.68,97.71,156.5,153.8,1.8,96,4.077,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
18,12:37:32,8/7/2023,Zach TIP2023,Zach Peagler,,2,3,0.194959,2.921338,0.182762,1.517162,3.382769,3.342412,4.162541,0.779772,34.208702,34.621746,42.602497,0.441786,PSF-01133_20230807123732,0,0,0,112.497925,452.681061,0.751485,0.5,0.8,32.221664,80.9,79.93,29.68,29.6,97.71,156.7,152.6,2.6,107,4.075,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
19,12:37:40,8/7/2023,Zach TIP2023,Zach Peagler,,3,3,0.129509,2.919355,0.124008,1.147695,3.394806,3.364234,4.263631,0.868825,34.43248,34.745384,43.637688,0.441786,PSF-01133_20230807123740,0,0,0,111.965416,428.205017,0.738524,0.5,0.8,12.887033,81.06,80.33,29.7,30.01,97.71,156.4,153.6,1.8,44,4.075,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
20,12:37:48,8/7/2023,Zach TIP2023,Zach Peagler,,4,3,0.092708,2.920548,0.089855,0.777314,3.391035,3.370348,4.203394,0.812359,34.495583,34.707314,43.021828,0.441786,PSF-01133_20230807123748,0,0,0,106.776237,417.858124,0.744468,0.5,0.8,16.562428,80.84,80.34,29.73,29.77,97.7,156.6,151.6,3.1,56,4.073,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
21,12:38:00,8/7/2023,Zach TIP2023,Zach Peagler,,5,3,0.060471,2.922592,0.059245,0.451727,3.38446,3.372456,4.100888,0.716428,34.51725,34.640106,41.972782,0.441786,PSF-01133_20230807123800,0,0,0,106.21476,427.690399,0.751655,0.5,0.8,25.758951,80.5,80.22,29.77,29.34,97.7,156.8,151.7,3.2,86,4.074,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
22,12:38:07,8/7/2023,Zach TIP2023,Zach Peagler,,6,3,0.179143,2.922113,0.168794,1.178858,3.409492,3.378166,4.065703,0.656211,34.577991,34.898643,41.615437,0.441786,PSF-01133_20230807123807,0,0,0,103.865501,441.395416,0.764688,0.5,0.8,50.251427,80.99,80.24,29.79,29.19,97.7,156.8,152.1,3,164,4.072,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
23,12:38:18,8/7/2023,Zach TIP2023,Zach Peagler,,7,3,0.129442,2.92005,0.123948,0.77093,3.404952,3.384431,3.989632,0.584679,34.641052,34.851101,40.835533,0.441786,PSF-01133_20230807123818,0,0,0,107.379555,447.664246,0.760134,0.5,0.8,62.53656,80.7,80.21,29.83,28.86,97.7,156.5,149.7,4.4,206,4.073,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
24,12:38:30,8/7/2023,Zach TIP2023,Zach Peagler,,8,3,0.190286,2.922032,0.178652,1.397331,3.42836,3.391232,4.162834,0.734474,34.710659,35.090683,42.608337,0.441786,PSF-01133_20230807123830,0,0,0,112.241867,393.871674,0.715029,0.5,0.8,35.624668,81.08,80.2,29.87,29.6,97.7,156.7,152.5,2.7,125,4.072,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
25,12:38:46,8/7/2023,Zach TIP2023,Zach Peagler,,1,4,-0.001234,2.920698,-0.001235,-0.010298,3.374609,3.374883,4.158144,0.783536,34.543762,34.540958,42.560875,0.441786,PSF-01133_20230807123846,0,0,0,101.626755,417.006256,0.756294,0.5,0.8,67.236115,79.56,79.56,29.92,29.58,97.7,156.6,154,1.6,222,4.072,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
26,12:39:00,8/7/2023,Zach TIP2023,Zach Peagler,,2,4,0.087978,2.921833,0.085406,0.621715,3.396075,3.379548,4.080073,0.683998,34.590981,34.760151,41.761131,0.441786,PSF-01133_20230807123900,0,0,0,109.770294,454.673065,0.758573,0.5,0.8,73.485336,79.81,79.42,29.98,29.25,97.7,156.7,152.7,2.6,242,4.071,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
27,12:39:07,8/7/2023,Zach TIP2023,Zach Peagler,,3,4,-0.053188,2.920713,-0.054174,-0.485109,3.359802,3.372713,4.200752,0.84095,34.523502,34.391335,42.999405,0.441786,PSF-01133_20230807123907,0,0,0,107.3302,420.742401,0.744903,0.5,0.8,60.763611,78.84,79.14,30,29.75,97.69,156.6,152.8,2.4,204,4.071,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
28,12:39:16,8/7/2023,Zach TIP2023,Zach Peagler,,4,4,-0.043318,2.919591,-0.043971,-0.421963,3.363632,3.374872,4.264534,0.900902,34.545959,34.430901,43.652737,0.441786,PSF-01133_20230807123916,0,0,0,100.269554,400.771027,0.749808,0.5,0.8,69.947502,78.77,79.03,30.04,30.02,97.69,156.4,151.8,2.9,233,4.07,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
29,12:39:27,8/7/2023,Zach TIP2023,Zach Peagler,,5,4,-0.052649,2.92107,-0.053616,-0.465175,3.369621,3.381997,4.184454,0.814833,34.618271,34.491585,42.832253,0.441786,PSF-01133_20230807123927,0,0,0,98.895195,405.601135,0.756176,0.5,0.8,29.457367,78.73,79.02,30.08,29.69,97.69,156.6,153.2,2.2,97,4.069,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
30,12:39:38,8/7/2023,Zach TIP2023,Zach Peagler,,6,4,-0.099515,2.905107,-0.103045,-0.851453,3.362886,3.385826,4.139132,0.776246,34.657375,34.422554,42.368217,0.441786,PSF-01133_20230807123938,0,0,0,97.02301,388.126007,0.750022,0.5,0.8,62.526619,78.4,78.93,30.12,29.5,97.69,154.7,151.6,2,208,4.068,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
31,12:39:47,8/7/2023,Zach TIP2023,Zach Peagler,,7,4,0.172967,2.921867,0.1633,1.463883,3.426828,3.387929,4.268084,0.841256,34.679783,35.077965,43.689301,0.441786,PSF-01133_20230807123947,0,0,0,96.440079,417.360291,0.768929,0.5,0.8,87.312881,79.72,78.82,30.15,30.03,97.69,156.7,152.7,2.6,284,4.069,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
32,12:39:58,8/7/2023,Zach TIP2023,Zach Peagler,,8,4,-0.030615,2.920363,-0.030939,-0.24873,3.404497,3.411116,4.15944,0.754943,34.918026,34.850273,42.578274,0.441786,PSF-01133_20230807123958,0,0,0,91.108559,386.610046,0.76434,0.5,0.8,41.633278,79.01,79.17,30.2,29.58,97.69,156.5,153.3,2.1,136,4.067,12:34:20,8/7/2023,-2.44,,,,,,,,,,,,,,,,,
1,12:45:28,8/10/2023,Zach TIP2023,Zach Peagler,,1,1,0.597469,2.922243,0.496049,4.096401,2.394217,2.284522,3.175701,0.781483,23.450781,24.576807,32.598789,0.441786,PSF-01133_20230810124528,0,0,0,112.103821,431.445465,0.740167,0.5,0.8,72.461472,78.03,74.45,24.4,24.98,97.42,156.8,154.7,1.3,245,4.073,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
2,12:45:36,8/10/2023,Zach TIP2023,Zach Peagler,,2,1,0.85145,2.921791,0.659316,6.453588,2.477703,2.304978,3.402472,0.924769,23.660938,25.433989,34.92688,0.441786,PSF-01133_20230810124536,0,0,0,120.298859,461.994049,0.739609,0.5,0.8,53.760815,80.55,74.94,24.44,26.14,97.42,156.7,153.7,1.9,182,4.071,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
3,12:45:43,8/10/2023,Zach TIP2023,Zach Peagler,,3,1,1.022385,2.921713,0.757364,6.643284,2.54699,2.369311,3.375498,0.828508,24.321888,26.145834,34.650784,0.441786,PSF-01133_20230810124543,0,0,0,114.341858,425.25708,0.731123,0.5,0.8,85.109825,82.62,76.86,24.48,26.01,97.41,156.7,153.6,2,291,4.071,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
4,12:45:58,8/10/2023,Zach TIP2023,Zach Peagler,,4,1,0.681946,2.920734,0.552861,4.042309,2.518189,2.409953,3.209538,0.691349,24.738085,25.849119,32.945789,0.441786,PSF-01133_20230810124558,0,0,0,127.472519,452.099548,0.718043,0.5,0.8,74.820114,81.36,77.86,24.55,25.16,97.42,156.6,155,1,261,4.07,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
5,12:46:10,8/10/2023,Zach TIP2023,Zach Peagler,,5,1,0.616632,2.921556,0.509166,3.679831,2.531571,2.433128,3.214803,0.683232,24.978279,25.988882,33.002884,0.441786,PSF-01133_20230810124610,0,0,0,113.271477,437.834137,0.741291,0.5,0.8,69.862373,81.53,78.36,24.6,25.18,97.41,156.7,152.1,2.9,236,4.069,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
6,12:46:18,8/10/2023,Zach TIP2023,Zach Peagler,,6,1,0.507259,2.921322,0.43221,4.432857,2.57871,2.460162,3.546331,0.967622,25.256525,26.473557,36.40736,0.441786,PSF-01133_20230810124618,0,0,0,119.538902,408.001556,0.707014,0.5,0.8,108.352158,82.88,79.07,24.64,26.84,97.41,156.7,154,1.7,383,4.069,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
7,12:46:32,8/10/2023,Zach TIP2023,Zach Peagler,,7,1,0.346256,2.922134,0.309574,3.165475,2.570824,2.486217,3.535617,0.964793,25.524012,26.392597,36.297363,0.441786,PSF-01133_20230810124632,0,0,0,114.404083,404.669525,0.71729,0.5,0.8,109.246887,82.3,79.59,24.7,26.79,97.41,156.8,137.1,12.5,381,4.067,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
8,12:46:46,8/10/2023,Zach TIP2023,Zach Peagler,,8,1,0.367351,2.921008,0.326314,3.11395,2.596557,2.51327,3.497085,0.900528,25.799883,26.654863,35.899208,0.441786,PSF-01133_20230810124646,0,0,0,115.677956,411.437286,0.718844,0.5,0.8,71.258453,82.79,80.14,24.77,26.61,97.41,156.6,152.9,2.4,248,4.067,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
9,12:47:02,8/10/2023,Zach TIP2023,Zach Peagler,,1,2,0.232102,2.920779,0.215015,1.695381,2.545346,2.499969,3.290418,0.745072,25.664137,26.129965,33.778713,0.441786,PSF-01133_20230810124702,0,0,0,111.148956,417.196869,0.733582,0.5,0.8,67.323318,80.8,79.36,24.84,25.58,97.41,156.6,153.1,2.2,229,4.065,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
10,12:47:12,8/10/2023,Zach TIP2023,Zach Peagler,,2,2,0.504462,2.920928,0.430169,2.568206,2.562781,2.494064,3.127362,0.564581,25.603449,26.308884,32.104736,0.441786,PSF-01133_20230810124712,0,0,0,101.874229,438.439972,0.767644,0.5,0.8,51.512596,81.15,78.98,24.89,24.72,97.41,156.6,152.9,2.3,168,4.065,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
11,12:47:21,8/10/2023,Zach TIP2023,Zach Peagler,,3,2,0.235948,2.920875,0.218313,1.425357,2.527526,2.489371,3.145027,0.617501,25.554287,25.945965,32.284836,0.441786,PSF-01133_20230810124721,0,0,0,109.732033,463.600159,0.763305,0.5,0.8,31.938625,79.85,78.64,24.92,24.82,97.42,156.6,153,2.3,105,4.065,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
12,12:47:33,8/10/2023,Zach TIP2023,Zach Peagler,,4,2,0.178863,2.921651,0.168544,1.181068,2.518997,2.487397,3.181662,0.662665,25.533762,25.858141,32.660564,0.441786,PSF-01133_20230810124733,0,0,0,109.476326,449.070099,0.756216,0.5,0.8,51.251698,79.37,78.37,24.97,25.01,97.42,156.7,147.4,5.9,169,4.064,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
13,12:48:44,8/10/2023,Zach TIP2023,Zach Peagler,,5,2,0.090449,2.920716,0.087732,0.546729,2.566495,2.551865,3.155675,0.58918,26.198435,26.348631,32.397381,0.441786,PSF-01133_20230810124844,0,0,0,123.368744,470.056427,0.737545,0.5,0.8,59.473137,79.46,79.01,25.26,24.87,97.41,156.6,151.7,3.1,202,4.037,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
14,12:49:22,8/10/2023,Zach TIP2023,Zach Peagler,,6,2,0.03862,2.92152,0.038116,0.259845,2.599445,2.592499,3.243619,0.644174,26.613132,26.684446,33.297173,0.441786,PSF-01133_20230810124922,0,0,0,111.347435,467.983948,0.76207,0.5,0.8,40.799,79.77,79.56,25.41,25.33,97.41,156.7,153.2,2.2,134,4.061,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
15,12:49:30,8/10/2023,Zach TIP2023,Zach Peagler,,7,2,0.155525,2.919558,0.147659,1.017062,2.63685,2.609627,3.287419,0.65057,26.789244,27.068695,33.747147,0.441786,PSF-01133_20230810124930,0,0,0,111.709358,428.163177,0.739096,0.5,0.8,70.302841,80.78,79.95,25.44,25.56,97.41,156.4,149.3,4.6,238,4.062,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
16,12:49:40,8/10/2023,Zach TIP2023,Zach Peagler,,8,2,0.096928,2.922863,0.093816,0.652681,2.61408,2.596652,3.271317,0.657237,26.655842,26.834749,33.581593,0.441786,PSF-01133_20230810124940,0,0,0,113.159897,422.294861,0.732036,0.5,0.8,85.645554,79.9,79.37,25.48,25.48,97.41,156.8,153.5,2.1,292,4.06,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
17,12:49:52,8/10/2023,Zach TIP2023,Zach Peagler,,1,3,0.016738,2.920124,0.016642,0.135999,2.610763,2.607123,3.38235,0.771588,26.762367,26.799726,34.720154,0.441786,PSF-01133_20230810124952,0,0,0,111.083511,421.005249,0.736147,0.5,0.8,50.664318,79.56,79.45,25.53,26.04,97.42,156.5,153.5,1.9,172,4.059,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
18,12:50:23,8/10/2023,Zach TIP2023,Zach Peagler,,2,3,0.069933,2.91958,0.068298,0.490615,2.654562,2.641432,3.332864,0.678302,27.114204,27.24898,34.211727,0.441786,PSF-01133_20230810125023,0,0,0,133.872986,453.245758,0.704635,0.5,0.8,64.487762,80.31,79.91,25.65,25.79,97.42,156.4,154,1.6,229,4.059,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
19,12:50:37,8/10/2023,Zach TIP2023,Zach Peagler,,3,3,-0.051645,2.92071,-0.052575,-0.386783,2.619247,2.629593,3.314182,0.694935,26.990118,26.883921,34.016727,0.441786,PSF-01133_20230810125037,0,0,0,112.421036,421.17691,0.733079,0.5,0.8,56.297874,78.96,79.27,25.71,25.7,97.43,156.6,154.8,1.1,192,4.059,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
20,12:50:47,8/10/2023,Zach TIP2023,Zach Peagler,,4,3,-0.006483,2.927277,-0.006497,-0.040286,2.611656,2.612729,3.197773,0.586116,26.816469,26.805464,32.821232,0.441786,PSF-01133_20230810125047,0,0,0,121.609924,440.806396,0.724119,0.5,0.8,45.615307,78.56,78.59,25.75,25.1,97.43,157.4,152.8,2.9,157,4.057,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
21,12:51:00,8/10/2023,Zach TIP2023,Zach Peagler,,5,3,-0.110714,2.921754,-0.115075,-0.782879,2.601599,2.622528,3.244527,0.642928,26.917944,26.703131,33.302219,0.441786,PSF-01133_20230810125100,0,0,0,112.942459,435.272461,0.740525,0.5,0.8,36.340755,78.03,78.66,25.8,25.34,97.43,156.7,153.5,2,123,4.058,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
22,12:51:07,8/10/2023,Zach TIP2023,Zach Peagler,,6,3,0.096339,2.922514,0.093264,0.6993,2.655015,2.636342,3.363004,0.707989,27.058203,27.249859,34.516338,0.441786,PSF-01133_20230810125107,0,0,0,117.39814,418.723236,0.719628,0.5,0.8,29.561808,79.5,78.94,25.83,25.94,97.43,156.8,154,1.8,103,4.058,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
23,12:51:22,8/10/2023,Zach TIP2023,Zach Peagler,,7,3,0.060126,2.920897,0.058913,0.361184,2.65063,2.640974,3.229869,0.579239,27.109085,27.208206,33.153984,0.441786,PSF-01133_20230810125122,0,0,0,124.348282,488.470306,0.745433,0.5,0.8,64.271576,79.09,78.8,25.88,25.26,97.42,156.6,153.2,2.2,216,4.058,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
24,12:51:33,8/10/2023,Zach TIP2023,Zach Peagler,,8,3,0.019091,2.920435,0.018967,0.119519,2.633557,2.63036,3.229018,0.595461,26.998331,27.031149,33.143036,0.441786,PSF-01133_20230810125133,0,0,0,116.823792,433.321594,0.730399,0.5,0.8,66.884041,78.38,78.28,25.93,25.26,97.43,156.5,152.2,2.8,229,4.056,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
25,12:52:04,8/10/2023,Zach TIP2023,Zach Peagler,,1,4,-0.022573,2.921395,-0.022749,-0.173088,2.669279,2.673904,3.387581,0.718302,27.443235,27.395763,34.76796,0.441786,PSF-01133_20230810125204,0,0,0,116.399643,454.313995,0.74379,0.5,0.8,80.159027,78.88,79.01,26.05,26.07,97.43,156.7,145.7,7,269,4.028,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
26,12:52:16,8/10/2023,Zach TIP2023,Zach Peagler,,2,4,-0.102457,2.922054,-0.10618,-0.695086,2.640565,2.659137,3.25912,0.618555,27.290207,27.099606,33.447716,0.441786,PSF-01133_20230810125216,0,0,0,105.244873,390.038239,0.730168,0.5,0.8,50.027454,77.8,78.35,26.1,25.41,97.44,156.7,150.9,3.7,171,4.054,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
27,12:52:26,8/10/2023,Zach TIP2023,Zach Peagler,,3,4,-0.0752,2.920504,-0.077187,-0.463407,2.631968,2.644365,3.199445,0.567477,27.139162,27.011923,32.835949,0.441786,PSF-01133_20230810125226,0,0,0,102.505806,416.786682,0.754057,0.5,0.8,60.698517,77.36,77.73,26.14,25.1,97.44,156.6,153.8,1.8,201,4.054,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
28,12:52:38,8/10/2023,Zach TIP2023,Zach Peagler,,4,4,-0.248266,2.92192,-0.271319,-2.076409,2.59526,2.650771,3.31832,0.72306,27.204901,26.635193,34.055965,0.441786,PSF-01133_20230810125238,0,0,0,99.998833,401.537415,0.75096,0.5,0.8,58.423847,76.09,77.71,26.18,25.72,97.44,156.7,139.6,10.9,194,4.052,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
29,12:52:50,8/10/2023,Zach TIP2023,Zach Peagler,,5,4,-0.123289,2.894146,-0.128775,-0.94814,2.642756,2.668643,3.338097,0.695341,27.390152,27.124454,34.261223,0.441786,PSF-01133_20230810125250,0,0,0,112.030151,432.814117,0.741159,0.5,0.8,68.606979,77.26,78.01,26.23,25.82,97.43,153.4,146.3,4.6,231,4.054,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
30,12:52:58,8/10/2023,Zach TIP2023,Zach Peagler,,6,4,-0.114686,2.922932,-0.11937,-0.641711,2.631216,2.648351,3.13951,0.508294,27.18014,27.00428,32.220921,0.441786,PSF-01133_20230810125258,0,0,0,111.788391,449.006805,0.751032,0.5,0.8,55.108604,76.78,77.28,26.26,24.79,97.44,156.9,145.1,7.5,183,4.052,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
31,12:53:06,8/10/2023,Zach TIP2023,Zach Peagler,,7,4,-0.086207,2.920642,-0.088829,-0.607773,2.631079,2.647336,3.277497,0.646418,27.171186,27.004326,33.638897,0.441786,PSF-01133_20230810125306,0,0,0,108.983521,419.178131,0.740007,0.5,0.8,53.234138,76.65,77.12,26.29,25.51,97.43,156.6,146.6,6.4,180,4.052,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
32,12:53:13,8/10/2023,Zach TIP2023,Zach Peagler,,8,4,-0.328814,2.908827,-0.37072,-2.129029,2.572799,2.630311,3.115975,0.543176,26.998112,26.407789,31.983074,0.441786,PSF-01133_20230810125313,0,0,0,95.086098,401.967285,0.763448,0.5,0.8,46.282997,74.84,76.51,26.32,24.66,97.43,155.1,152.4,1.7,152,4.051,12:45:23,8/10/2023,-2.76,,,,,,,,,,,,,,,,,
1,15:06:36,8/16/2023,Zach TIP2023,Zach Peagler,,1,1,0.146203,2.920721,0.139233,1.440556,2.303067,2.264324,3.284219,0.981152,23.194216,23.591078,33.641338,0.441786,PSF-01133_20230816150636,0,0,0,109.122276,451.50589,0.758315,0.5,0.8,42.031147,70.93,69.73,25.35,25.54,97.62,156.6,154.4,1.4,139,4.051,15:06:31,8/16/2023,-1.74,,,,,,,,,,,,,,,,,
2,15:06:44,8/16/2023,Zach TIP2023,Zach Peagler,,2,1,0.149833,2.788424,0.142193,1.544185,2.35625,2.310479,3.385179,1.028929,23.668755,24.137642,34.678082,0.441786,PSF-01133_20230816150644,0,0,0,106.612442,442.000854,0.758796,0.5,0.8,39.699043,72.37,70.96,25.4,26.05,97.62,142,140.7,0.9,131,4.051,15:06:31,8/16/2023,-1.74,,,,,,,,,,,,,,,,,
3,15:06:53,8/16/2023,Zach TIP2023,Zach Peagler,,3,1,0.137382,2.712116,0.130758,1.406316,2.408044,2.364146,3.426476,1.018433,24.220198,24.669926,35.103565,0.441786,PSF-01133_20230816150653,0,0,0,110.689758,412.340637,0.731557,0.5,0.8,93.083847,73.78,72.43,25.44,26.26,97.61,134.7,132.6,1.6,318,4.051,15:06:31,8/16/2023,-1.74,,,,,,,,,,,,,,,,,
4,15:07:01,8/16/2023,Zach TIP2023,Zach Peagler,,4,1,0.053338,2.653474,0.052287,0.598479,2.392896,2.373467,3.476592,1.083696,24.314947,24.513983,35.615891,0.441786,PSF-01133_20230816150701,0,0,0,109.164833,428.971405,0.74552,0.5,0.8,60.151848,73.17,72.57,25.47,26.51,97.61,129.6,125.1,3.4,202,4.049,15:06:31,8/16/2023,-1.74,,,,,,,,,,,,,,,,,
5,15:07:20,8/16/2023,Zach TIP2023,Zach Peagler,,5,1,-0.021313,2.55953,-0.021492,-0.245134,2.418637,2.427092,3.49809,1.079453,24.868444,24.781813,35.842091,0.441786,PSF-01133_20230816150720,0,0,0,109.199883,441.357483,0.752582,0.5,0.8,61.843891,73.56,73.82,25.56,26.61,97.6,121.9,121.2,0.6,205,4.048,15:06:31,8/16/2023,-1.74,,,,,,,,,,,,,,,,,
